Hardware,Serial Number,Current Price - Yesterday,Delta_From Site
ADATA DDR4 XPG SPECTRIX D60G PC25600 3200MHz 16GB (2X8GB) Dual Channel - RGB - AX4U32008G16A-DT60 Ready Best Seller!!!,YFAMD19,974000,29000
ADATA DDR4 XPG SPECTRIX D60G PC28800 3600MHz 16GB (2X8GB) Dual Channel - RGB - AX4U36008G18I-DT60 Ready Best Seller!!!,U6EXF20,1034000,28000
ADATA DDR4 XPG SPECTRIX D50 PC25600 3200MHz 16GB (2X8GB) Dual Channel - RGB - AX4U32008G16A-DT50,Y4VV320,935000,28000
ADATA DDR4 XPG SPECTRIX D50 WHITE VERSION PC25600 3200MHz 16GB (2X8GB) Dual Channel - RGB - AX4U32008G16A-DW50,US1PW20,935000,28000
Kingston KVR DDR4 2666 Mhz (PC 21000) 8GB - KVR26N19S8/8,QXC3M18,414000,27000
ADATA DDR4 XPG SPECTRIX D50 WHITE VERSION PC28800 3600MHz 16GB (2X8GB) Dual Channel - RGB - AX4U36008G18I-DW50,HK98X20,995000,27000
ADATA DDR4 XPG SPECTRIX D50 PC28800 3600MHz 16GB (2X8GB) Dual Channel - RGB - AX4U36008G18I-DT50 Ready Best Seller!!!,YMFHP20,995000,27000
V-GeN Platinum DDR3 4GB PC10600/PC12800 - Low Voltage,63347f70-7b4c-4a03-9a48-8ee262083ba7,223000,25000
V-GeN Rescue DDR3 4GB PC12800,VBN8717,203000,25000
Sandisk MicroSD Extreme Pro 128GB U3 4K V30 R170MB/s W90MB/s V30 A2 - SDSQXCY-128G,6KKF418,335000,25000
Gskill DDR4 Flare X PC25600 16GB (2x8GB) Dual Channel F4-3200C16D-16GFX - For AMD Ryzen,E2HY519,875000,24000
Kingston Fury Beast DDR4 3200MHz (PC25600) 8GB (1x8GB) - KF432C16BB/8,YJ44221,446000,23000
Kingston Fury Beast DDR4 3200MHz (PC25600) 16GB (2x8GB) - KF432C16BBK2/16,C8ZB521,918000,22000
Apple Magic Mouse 2 - MLA02,S3DFN18,1130000,20000
WDC 6TB SATA3 128MB - Red Plus - WD60EFZX - Garansi 3 Th (For NAS),JRTAJ21,2715000,20000
